Activity,100000156_at,393484_at,559856_at,561790_at,559475_at,431764_at,327588_at,494573_at,100004700_at,100148803_at,360208_at,393556_at,550419_at,100331270_at,322412_at,431765_at,568482_at,246092_at,562304_at,447925_at,100005071_at,368352_at,334438_at,322451_at,449556_at,100004231_at,100002805_at,553530_at,555679_at,558919_at,100005016_at,100006523_at,566996_at,558816_at,100124622_at,368924_at,100006428_at,100038777_at,100170833_at,553552_at,541344_at,436823_at,393511_at,550580_at,436734_at,100126128_at,573111_at,492500_at,100151256_at,334459_at,406452_at,553169_at,563265_at,566702_at,564241_at,325886_at
Toxic,5.181827258,2.410865204,3.254439129,3.860686531,3.334045396,7.878449973,2.604546353,6.879636691,5.748569255,5.675744755,6.789969455,5.761165552,8.943783108,4.579672932,8.364710851,8.391395415,6.280399951,9.551867233,5.589100606,4.099649961,5.489766125,5.806150164,4.884063128,9.540961555,6.138861741,5.0940256,4.713080585,4.784223039,3.945950888,5.217390823,2.621155468,3.16351983,3.056740495,3.580403485,2.157823138,5.679519123,1.841206174,4.225236442,3.562332261,3.290670335,4.312840581,4.709231376,4.689297993,4.746421346,4.495086598,1.698722401,5.243669387,4.762055547,4.966261267,6.347783329,5.335782621,4.48457102,4.210832644,4.654416332,4.651993128,6.378666095
Toxic,3.686350042,2.854933536,2.786997388,5.485399818,2.628815134,6.255672621,2.499294376,6.446291683,5.126977423,4.453644111,6.679397819,5.087119387,7.258572553,4.144966425,7.042622443,8.155154344,5.961955607,8.437627418,5.038029606,3.831338642,3.854705777,5.462592616,4.877491817,7.58131088,4.973617555,4.82000361,3.106358016,4.521302788,3.433669134,4.41149984,2.437539889,3.277254355,2.907683216,3.9603843,2.520302883,7.623005147,1.85655268,3.546212433,3.774225101,3.146529096,4.823655682,4.442157114,5.53229766,4.972019271,4.095016484,2.018155963,4.939374868,5.068627032,4.388978912,3.608402225,5.11044917,4.629869202,4.333338009,4.935655139,4.513599051,4.703000346
Toxic,11.12196485,6.110298592,2.729676924,3.712481105,2.450271254,10.51409469,4.408559419,5.67585042,5.716187679,8.744420386,9.032555401,7.650212854,11.27356661,5.263024067,10.57932889,6.941008753,8.535916655,10.68369801,5.886264119,6.832994897,2.539303024,8.358353045,5.801423576,10.95016901,7.387217372,9.006366131,6.172232673,6.221717598,5.942885285,7.521601775,2.636459778,3.505495293,4.854060854,4.469822378,2.400015792,7.148453757,2.151891151,6.251231321,3.579857746,3.874237933,5.640635227,5.190511302,5.979204556,5.833997444,5.127073746,1.761125711,5.325659541,7.344150702,6.499948778,7.706426926,6.760639274,6.021450461,5.086347212,8.621807062,5.015550276,7.965517901
Toxic,9.851734627,4.687689128,2.622720584,7.363801204,2.423779958,8.328998431,5.809341803,5.420388074,7.163238115,7.598722892,8.776212982,7.908023905,9.484100934,5.551192579,8.962495606,6.750199961,8.065196855,9.868189303,6.063770191,5.495346282,3.270854672,7.998870896,5.206339759,10.1072127,7.044214298,8.696095538,4.507859666,5.015449725,3.932984638,6.25366674,3.077842145,2.90442357,4.129847994,4.678234043,2.654175588,7.726456907,2.38913536,4.843363922,3.026465348,3.122824922,5.874146742,4.671864707,6.747232465,6.643585016,4.946498243,2.175464949,5.941891117,6.263438439,5.550541757,5.40225722,6.624991682,5.676909999,5.21173742,6.9844364,4.907156152,5.977190455
Toxic,4.139714302,2.614353417,3.34655805,4.277962209,2.203288986,6.702121426,2.337201858,6.832936123,4.616045957,4.573668131,6.069638427,5.085418068,7.461232299,4.330030967,6.989896587,8.007971663,6.208415382,8.456498766,3.85442878,3.691884779,6.450181901,4.384475645,4.621361641,8.043601778,4.977229723,4.105452609,3.710672032,4.862273072,3.396896239,4.512851359,3.281986478,3.841336745,3.751299043,4.344764358,2.654628149,6.523040735,2.459305741,4.592688044,3.165794278,2.967908102,4.538661127,4.406857255,4.695186915,4.660678523,3.896505027,2.127864054,5.820536598,5.047625811,4.646106158,3.847280582,4.744331516,4.859374262,4.133052803,4.362111191,5.680933058,5.430440352
Toxic,5.336517397,2.508478998,2.817003014,5.695673273,3.377453199,7.656754282,2.589901399,6.323963108,5.173992248,5.398682255,6.313770693,5.483373075,9.390957991,4.243923965,8.337619077,8.207626657,6.432548986,9.72282586,4.686219426,4.306533313,5.447266843,6.081095513,5.492097537,9.542849632,5.563990557,5.853822072,4.151598411,5.16210378,3.453163846,5.609368891,4.1522117,5.410763942,4.095916806,7.196320579,3.07816882,8.106550793,3.933332681,5.851357714,4.882180756,4.793920726,6.114191318,4.702403588,5.013852365,6.113991961,4.935549342,3.227946642,5.061494502,6.108254507,5.036441184,4.710172999,5.347287334,4.986425529,5.010076259,4.870293964,5.39807682,5.91064605
Non-Toxic,6.653285486,2.716543903,2.84577799,4.219276172,2.174671362,9.657784631,2.581571495,6.070064503,5.986208103,6.733831352,8.629577894,6.005144362,10.58457095,6.127971544,9.84934108,8.037911218,6.553249306,10.7350575,5.406282698,6.258128224,3.421506505,6.91743375,6.11548988,10.42554529,6.60275974,8.248196096,5.459040988,6.088603056,5.673630323,7.043130583,2.591986537,3.032904795,3.79346706,4.488434419,2.663494516,8.026752038,2.254239635,5.133048031,3.145602871,2.878856441,5.566334787,4.038786062,5.694030297,5.517208902,4.901924622,2.055047835,4.968035057,6.321950913,5.376125241,7.32620451,5.889303432,5.307964709,4.650926517,7.704853558,5.769094832,7.692338634
Non-Toxic,6.0642627,3.130298311,2.460222236,4.355243827,1.975400444,9.685072543,2.921399501,6.368156115,5.983938281,4.697516124,8.185380112,5.696089928,10.13550925,6.510854658,9.894040245,8.275819746,6.409784463,10.64638381,5.536862947,6.348190322,3.479551912,6.393396741,5.844709998,10.31151193,6.354439488,7.40404759,6.326142334,6.130718099,4.911423387,6.541450826,2.910622175,2.789402957,3.364795248,4.505812028,1.93031787,8.185470009,1.544257195,4.763906388,3.158764162,3.557252903,4.868777229,4.460551803,5.440079076,5.46827565,4.400679077,1.639465763,4.39659289,5.670701118,5.367461173,6.508123662,5.706824351,5.214591398,4.497965986,6.941891222,7.000800246,7.397088852
Toxic,3.676213692,3.075188852,2.881960495,4.281452289,2.683389258,7.23340301,2.944948216,3.886425643,4.389467712,4.396389944,8.331621617,5.095189593,8.012551341,3.633292346,7.361037642,5.849561895,5.785671739,8.466820759,5.196578148,4.250752296,3.323559018,6.034088369,4.895785055,8.357749196,4.620291966,7.34473853,6.158020786,5.346928504,3.097892308,4.357545867,2.861955559,2.841379025,3.052128846,4.369897051,2.241708259,6.257702545,2.577441804,4.196221967,3.266233366,3.367401536,5.695273569,5.207798005,5.428012844,5.394432453,4.806774151,2.109425919,4.82061171,4.925246565,5.538797317,5.934942078,5.580737045,4.475922254,4.448947368,5.364145876,4.417416102,5.26462928
Toxic,7.427952339,2.897746212,2.337947774,4.343542437,2.01265532,10.20198409,2.152855769,6.185659366,4.508617952,7.349566857,8.786562662,5.977172286,10.7437753,6.405524339,10.22830018,8.381972645,6.777651303,10.64948634,6.167211959,7.098868562,1.694965494,7.282001802,5.904939124,10.57117112,7.293878821,8.150015455,6.350588356,6.051617939,5.724255415,7.552021867,2.90825462,3.020753063,3.935274567,5.184534717,2.680991888,7.565865474,2.411142639,5.677539326,3.564816156,3.841584084,5.58110411,5.148462477,5.48082429,5.924111549,5.174890087,2.109376393,5.217641686,6.655493836,6.061964949,8.294503267,6.230670216,5.601741769,4.671091495,8.143966462,4.424707333,7.852740113
Toxic,8.401174037,4.352326679,2.761569598,7.81639122,2.624200613,5.739557461,2.650542541,5.317502205,5.884534428,6.092560745,8.050610662,6.902934997,7.121884766,3.252018937,6.492344046,5.858122142,7.706704344,7.982973281,5.944094824,4.461934412,2.95434873,7.202916326,3.903861823,7.631461416,5.41104434,7.712230024,3.952060057,4.403845496,3.54656425,5.149475828,2.782860375,2.744600306,3.94743768,4.823240255,2.181552955,7.249994388,2.244470029,4.283778258,3.195563201,3.573899103,5.152319774,4.4128235,5.483168644,6.215697193,4.420962568,1.910229656,5.654229298,5.322429236,5.192804181,4.2671841,5.767357782,4.561982643,5.076978226,5.664416195,6.08206099,4.268887278
Toxic,6.585133176,2.964112869,8.427662129,5.345185333,8.48303891,9.546243238,2.278173598,5.799593591,5.31859564,6.857478534,8.575282395,5.905108927,10.58463662,7.111116303,9.996147982,7.710894751,6.566486036,10.75348486,5.801526902,6.551248621,3.059328907,6.71635939,5.950072712,10.56668581,7.287432463,9.137000937,6.140609014,5.874101386,5.611142112,7.065822147,3.259042422,3.207812071,3.40600201,4.350979943,2.01371344,8.152965354,2.169454875,5.421763737,3.234634808,3.105519425,5.934691167,4.818661319,5.570268835,5.931439079,4.722828474,1.565362965,5.342038243,6.441451796,6.111020483,7.118752251,6.353772697,5.657686592,4.376992428,8.485264613,6.009420809,7.638092047
Toxic,7.836225452,2.802646987,2.389889605,5.03782439,1.970572429,10.54935096,2.246358041,5.936596829,4.52887823,7.429062424,8.87723984,6.283924137,10.93584759,6.411451702,10.5922578,7.849926469,6.836118894,10.78105922,5.851573501,7.315938332,2.954053093,7.335409939,6.502124145,10.93705837,7.086688979,8.126248661,7.318353802,6.271799955,5.554495829,7.756000733,3.201384649,3.377210538,5.030600438,4.671351845,3.63550795,7.26619823,3.000991597,5.492875149,3.342519071,3.55639868,5.789268801,5.231224171,5.333300833,6.097740794,5.205317366,1.941649027,4.757904883,7.028232585,6.339633054,8.379511277,6.243947379,6.375637202,4.99109387,8.520714298,4.877569552,8.24622463
Toxic,7.283530935,2.858658358,4.728043009,4.821928611,2.892592456,10.29795637,2.175886044,5.716817855,5.065312056,7.096671935,8.444656856,5.90148982,10.85107633,6.277408216,10.6231051,7.395993631,6.524394616,10.80034539,5.610615582,7.38198149,3.074769915,7.19945872,5.67155636,11.11428276,7.084815423,8.900344665,6.988912037,5.777185944,5.433974707,8.064805352,2.373502485,2.963390207,3.781812433,3.837619972,2.838347647,8.254011387,2.290414801,5.086767752,3.20796104,3.462982886,5.600800674,4.771510962,5.701711831,6.431477513,4.815677857,1.783990849,4.930357612,6.656180337,5.984399738,7.826065598,6.147058746,5.35401839,4.378409983,8.435504012,7.306765043,8.355056246
Non-Toxic,7.570751099,3.216085022,2.389069755,5.51477542,3.07605917,9.874455793,2.557856318,5.721490133,5.747549761,7.505274859,8.692016495,6.353958702,10.95676471,6.459908444,10.17445473,7.165935903,6.692048802,10.8674643,6.318554241,7.177630529,2.785361811,7.506105166,6.391723138,10.81639778,7.02634125,8.391095108,6.26404301,6.143083186,6.008715695,7.760572437,2.765682667,3.468950262,3.592856234,4.573235041,2.328163933,7.01100862,2.483927261,5.640666743,3.53076304,3.344525127,5.649918642,4.596035859,5.549164883,6.164126827,5.36988464,1.783979648,4.987124809,6.327434828,5.677767597,7.697010672,6.02506112,5.619166473,4.518694294,8.854072911,5.534050946,6.903466452
