Activity,100000156_at,393484_at,559856_at,561790_at,559475_at,431764_at,327588_at,494573_at,100004700_at,100148803_at,360208_at,393556_at,550419_at,100331270_at,322412_at,431765_at,568482_at,246092_at,562304_at,447925_at,100005071_at,368352_at,334438_at,322451_at,449556_at,100004231_at,100002805_at,553530_at,555679_at,558919_at,100005016_at,100006523_at,566996_at,558816_at,100124622_at,368924_at,100006428_at,100038777_at,100170833_at,553552_at,541344_at,436823_at,393511_at,550580_at,436734_at,100126128_at,573111_at,492500_at,100151256_at,334459_at,406452_at,553169_at,563265_at,566702_at,564241_at,325886_at
Toxic,6.784694039,3.124211349,2.439412839,4.75076863,1.938379493,8.24973062,2.081707449,6.678477405,5.123681566,6.345525805,8.823737953,6.199882913,9.341353806,6.047864043,8.747062936,8.202974966,6.43781006,10.2095141,5.916677202,6.047998641,3.381216591,7.171721252,6.425121152,9.831794502,6.638480404,8.346326319,6.348582144,6.377498565,4.308199067,6.561933806,2.603590859,2.793478334,4.151159977,4.866262767,2.320453182,7.539726839,2.575167255,5.12519056,2.966673528,3.299250945,5.430875097,4.598513398,5.298113779,5.754152339,4.730273466,1.961248788,5.023662953,6.698102641,5.517506776,6.519312825,6.047464515,5.615983013,4.8478146,7.666850571,4.378414223,6.637091776
Toxic,5.452361718,3.006252799,3.936187535,7.214655625,1.977809713,5.792945852,2.505717847,6.479491275,5.343411126,6.314351278,6.782763766,4.990827822,7.788498222,3.693279698,7.262151907,7.805226628,6.341364198,8.475159252,4.68781397,4.135189978,5.425732383,5.617187595,4.971338004,8.087473903,5.172917723,4.272571481,4.370460346,4.136746986,3.760547928,4.932873974,2.906891704,2.595175869,2.860929562,4.215360208,2.187048869,4.376956284,2.00950928,4.476849078,3.020561957,3.250353556,5.065262968,4.648548013,4.738351907,4.649688359,4.39124518,1.664497604,4.950402726,4.640353351,4.291169374,2.647190833,4.650642973,4.676862938,4.251117626,4.391699371,6.499478923,5.413179976
Toxic,4.222231545,2.827884927,6.500102172,3.760768843,2.348877422,6.815297565,2.199721398,6.157700619,4.548019129,4.91777179,6.38130906,5.522181877,8.337233797,4.855310801,7.618245385,7.902666485,6.74936037,8.805329141,4.337659411,4.073367457,5.529151366,5.600639596,4.865095811,8.505295903,5.054538902,4.589041036,3.614220392,4.350382552,3.8753661,4.947390667,3.936628649,5.218129272,4.741363872,7.874815214,4.095876976,6.483105386,4.364955227,5.878852482,4.236912019,4.54141566,5.302824159,4.238446504,4.99141815,5.60292076,4.739426453,3.044177483,5.455218253,5.688312654,5.374203805,4.079737369,5.324396002,4.582291544,5.248056069,4.51121014,6.509386618,6.147184702
Toxic,6.531041949,3.101753787,2.357097808,6.842184159,2.522794072,8.198308043,2.693581515,5.6548606,7.377693761,6.964185977,8.815441787,6.201031791,9.465399854,6.521533968,8.56470405,7.276948348,6.86174044,9.384693832,5.366726512,5.93643302,4.250998167,6.892298686,5.674532243,9.921287873,6.814046655,8.980803359,6.756707525,6.370090071,4.781748221,6.843218721,2.916441055,2.793288143,3.540814947,4.471805606,2.428866323,6.228208158,1.898888781,5.429874523,4.084787781,3.537956096,5.384383982,4.772918312,4.613339316,5.97252916,4.742871305,1.959883427,5.389246194,5.830402785,5.320526831,6.458409094,5.338265116,5.23716965,4.662216685,7.432398255,5.163388093,5.053942416
Toxic,3.686350042,2.854933536,2.786997388,5.485399818,2.628815134,6.255672621,2.499294376,6.446291683,5.126977423,4.453644111,6.679397819,5.087119387,7.258572553,4.144966425,7.042622443,8.155154344,5.961955607,8.437627418,5.038029606,3.831338642,3.854705777,5.462592616,4.877491817,7.58131088,4.973617555,4.82000361,3.106358016,4.521302788,3.433669134,4.41149984,2.437539889,3.277254355,2.907683216,3.9603843,2.520302883,7.623005147,1.85655268,3.546212433,3.774225101,3.146529096,4.823655682,4.442157114,5.53229766,4.972019271,4.095016484,2.018155963,4.939374868,5.068627032,4.388978912,3.608402225,5.11044917,4.629869202,4.333338009,4.935655139,4.513599051,4.703000346
Toxic,6.109677021,3.151252282,2.693368973,4.811627873,3.086986153,7.953616603,2.944507286,6.925177568,6.389627342,6.524451256,8.657018032,6.446692404,9.442791913,5.50077603,8.78105039,8.156232591,6.611111777,10.2375522,4.822623166,5.756293796,3.736102964,6.389496913,6.024694495,9.926175476,6.024598483,8.11022465,5.325309056,5.711923679,4.618347862,6.392643823,3.438011004,4.329930017,3.544420399,5.669307574,2.052825176,7.816784001,2.65061731,5.287194605,3.390065041,3.620240591,5.654702095,4.528567059,5.291597545,5.705711026,4.917422715,2.935650572,5.390170628,5.763822735,5.685339274,5.909035154,5.912325589,5.790112715,4.899850442,7.17269248,6.722538718,6.678513238
Toxic,11.12196485,6.110298592,2.729676924,3.712481105,2.450271254,10.51409469,4.408559419,5.67585042,5.716187679,8.744420386,9.032555401,7.650212854,11.27356661,5.263024067,10.57932889,6.941008753,8.535916655,10.68369801,5.886264119,6.832994897,2.539303024,8.358353045,5.801423576,10.95016901,7.387217372,9.006366131,6.172232673,6.221717598,5.942885285,7.521601775,2.636459778,3.505495293,4.854060854,4.469822378,2.400015792,7.148453757,2.151891151,6.251231321,3.579857746,3.874237933,5.640635227,5.190511302,5.979204556,5.833997444,5.127073746,1.761125711,5.325659541,7.344150702,6.499948778,7.706426926,6.760639274,6.021450461,5.086347212,8.621807062,5.015550276,7.965517901
Toxic,4.652738181,3.76561239,4.753866584,6.854617126,4.019770436,6.336039287,2.461695543,5.857978839,5.421308137,5.578202331,7.590755614,5.547846181,8.061174153,4.54634944,7.669697213,7.803759762,6.218783099,8.548851065,2.387896421,4.365386481,4.583870623,5.869670546,5.488617791,8.842833036,5.555177736,7.099289721,5.615148852,4.308788843,3.414521068,4.907415798,2.714331191,2.14577752,3.345924149,3.931682114,2.322431722,4.329864993,2.122694661,4.829585612,3.221772944,2.981054756,5.0331209,4.67020075,5.678507454,5.479971201,4.337317263,1.708674525,4.768178874,5.161928908,5.198678201,4.009677755,5.403847075,4.927011467,4.34515911,4.803268617,5.989503552,5.621662875
Toxic,5.987591834,2.831907399,4.773526589,6.179838879,1.915450289,6.808263777,2.184801247,5.917562944,5.481483999,5.891654274,7.841840464,5.483704458,8.336042361,5.149314253,7.570564966,7.638662887,6.817300863,8.898304974,4.694671415,4.769963456,3.640055479,6.378277011,5.318969941,8.893557862,6.225802357,7.458779502,5.595433298,4.061686037,4.053087617,5.276481527,2.564173461,2.862755292,3.333338689,4.363704502,2.151671514,4.201001643,1.867782208,4.562622903,3.65841256,3.10735942,5.321767843,4.504090191,5.381011379,5.153837576,4.37978809,1.563429566,4.767396189,5.30618235,5.176012024,4.802343233,5.539392239,4.658540552,4.416135865,5.582182942,5.949010913,5.39913045
Toxic,9.851734627,4.687689128,2.622720584,7.363801204,2.423779958,8.328998431,5.809341803,5.420388074,7.163238115,7.598722892,8.776212982,7.908023905,9.484100934,5.551192579,8.962495606,6.750199961,8.065196855,9.868189303,6.063770191,5.495346282,3.270854672,7.998870896,5.206339759,10.1072127,7.044214298,8.696095538,4.507859666,5.015449725,3.932984638,6.25366674,3.077842145,2.90442357,4.129847994,4.678234043,2.654175588,7.726456907,2.38913536,4.843363922,3.026465348,3.122824922,5.874146742,4.671864707,6.747232465,6.643585016,4.946498243,2.175464949,5.941891117,6.263438439,5.550541757,5.40225722,6.624991682,5.676909999,5.21173742,6.9844364,4.907156152,5.977190455
